,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_shrinking,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,1.3614383538564045,0.3983889849482412,0.20072372754414877,0.07441544365943328,1.0,scale,poly,False,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': False}",0.5196153194373834,0.6859980272596843,0.6584076382861201,0.6213403283277292,0.0728070072920359,15
1,1.0137519041697185,0.4285990944440707,0.2161243756612142,0.14103589262549496,1.0,scale,poly,True,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.5196153194373834,0.6859980272596843,0.6584076382861201,0.6213403283277292,0.0728070072920359,15
2,0.9422205289204916,0.3675637535156887,0.42599066098531085,0.25733345221273557,1.0,scale,rbf,False,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}",0.6059782608695653,0.654190289833258,0.7286800651819663,0.6629495386282632,0.05047426093214431,1
3,1.2299932638804119,0.4344779491665375,0.5338718096415201,0.2261398712202218,1.0,scale,rbf,True,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.6059782608695653,0.654190289833258,0.7286800651819663,0.6629495386282632,0.05047426093214431,1
4,1.6588708559672039,0.6260380860219426,0.4031728108723958,0.22251794801867023,1.0,scale,sigmoid,False,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': False}",0.5979836168872086,0.6951553930530164,0.5936062170351251,0.6289150756584501,0.04687305653760255,11
5,1.3106973965962727,0.4205522832787845,0.38791990280151367,0.18602185821085238,1.0,scale,sigmoid,True,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': True}",0.5979836168872086,0.6951553930530164,0.5936062170351251,0.6289150756584501,0.04687305653760255,11
6,0.380656639734904,0.10744608403549687,0.027643918991088867,0.011832395578189856,1.0,auto,poly,False,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'poly', 'shrinking': False}",0.5851263925151495,0.7194964674217786,0.5926824034334764,0.6324350877901348,0.06163892813676201,5
7,0.4799528121948242,0.15729213493668678,0.027303298314412434,0.008967048407671718,1.0,auto,poly,True,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'poly', 'shrinking': True}",0.5851263925151495,0.7194964674217786,0.5926824034334764,0.6324350877901348,0.06163892813676201,5
8,2.8807308673858643,0.39200639249966135,2.0548110802968345,0.16525329041473666,1.0,auto,rbf,False,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': False}",0.4269759450171821,0.4269759450171821,0.4268502581755593,0.4269340494033078,5.924934534492736e-05,25
9,3.129309892654419,0.09094399381272984,1.6236766179402669,0.059502889323410316,1.0,auto,rbf,True,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}",0.4269759450171821,0.4269759450171821,0.4268502581755593,0.4269340494033078,5.924934534492736e-05,25
10,1.7747483253479004,0.2039905091988911,0.3294849395751953,0.15292545206529498,1.0,auto,sigmoid,False,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False}",0.4269759450171821,0.4269759450171821,0.4268502581755593,0.4269340494033078,5.924934534492736e-05,25
11,1.9267831643422444,0.060547662916720674,0.3631792863210042,0.08762057243961659,1.0,auto,sigmoid,True,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True}",0.4269759450171821,0.4269759450171821,0.4268502581755593,0.4269340494033078,5.924934534492736e-05,25
12,0.9631261030832926,0.35777277247558825,0.20386624336242676,0.08260053191697946,0.5,scale,poly,False,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': False}",0.5196153194373834,0.7110507246376812,0.6242532855436081,0.6183064432062242,0.07826622213696799,17
13,1.4866914749145508,0.09800817953434396,0.20038088162740073,0.05039651894838774,0.5,scale,poly,True,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.5196153194373834,0.7110507246376812,0.6242532855436081,0.6183064432062242,0.07826622213696799,17
14,1.203973611195882,0.2967536083574552,0.5749272505442301,0.21531805798253717,0.5,scale,rbf,False,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}",0.6189815570425983,0.6800369003690037,0.6733158927403532,0.657444783383985,0.027335664388336546,3
15,1.0799408753712971,0.29715832861406766,0.5536839962005615,0.12712857846373388,0.5,scale,rbf,True,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.6189815570425983,0.6800369003690037,0.6733158927403532,0.657444783383985,0.027335664388336546,3
16,1.4195512930552165,0.4813471049480876,0.2441999912261963,0.05441118088681787,0.5,scale,sigmoid,False,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': False}",0.6059782608695653,0.6029761904761906,0.6033228840125392,0.6040924451194316,0.0013409635552157988,19
17,1.36758820215861,0.26508205185072015,0.330394188563029,0.11740231737034382,0.5,scale,sigmoid,True,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': True}",0.6059782608695653,0.6029761904761906,0.6033228840125392,0.6040924451194316,0.0013409635552157988,19
18,0.37981367111206055,0.03676002782900819,0.012890338897705078,0.002212961651429198,0.5,auto,poly,False,"{'C': 0.5, 'gamma': 'auto', 'kernel': 'poly', 'shrinking': False}",0.5851263925151495,0.7194964674217786,0.5926824034334764,0.6324350877901348,0.06163892813676201,5
19,0.2969290415445964,0.01977447512649307,0.01650102933247884,0.0025766365663276464,0.5,auto,poly,True,"{'C': 0.5, 'gamma': 'auto', 'kernel': 'poly', 'shrinking': True}",0.5851263925151495,0.7194964674217786,0.5926824034334764,0.6324350877901348,0.06163892813676201,5
20,2.3034214973449707,0.25854097048174124,0.9796975453694662,0.1211991951240487,0.5,auto,rbf,False,"{'C': 0.5, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': False}",0.4269759450171821,0.4269759450171821,0.4268502581755593,0.4269340494033078,5.924934534492736e-05,25
21,2.704161802927653,0.23963780061368853,0.7987500031789144,0.16468395731687124,0.5,auto,rbf,True,"{'C': 0.5, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}",0.4269759450171821,0.4269759450171821,0.4268502581755593,0.4269340494033078,5.924934534492736e-05,25
22,1.5802854696909587,0.4152457321223555,0.318328857421875,0.14697913406464383,0.5,auto,sigmoid,False,"{'C': 0.5, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False}",0.4269759450171821,0.4269759450171821,0.4268502581755593,0.4269340494033078,5.924934534492736e-05,25
23,1.5997314453125,0.09536766548267146,0.3761661847432454,0.1650809639374642,0.5,auto,sigmoid,True,"{'C': 0.5, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True}",0.4269759450171821,0.4269759450171821,0.4268502581755593,0.4269340494033078,5.924934534492736e-05,25
24,1.6962838967641194,0.28648823686837277,0.24185538291931152,0.009227793639522416,0.2,scale,poly,False,"{'C': 0.2, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': False}",0.530458459699378,0.6585144927536233,0.5740602428497954,0.5876777317675989,0.05315802795262045,21
25,1.5823265711466472,0.39400208813716464,0.19851978619893393,0.08154246087747594,0.2,scale,poly,True,"{'C': 0.2, 'gamma': 'scale', 'kernel': 'poly', 'shrinking': True}",0.530458459699378,0.6585144927536233,0.5740602428497954,0.5876777317675989,0.05315802795262045,21
26,1.7242151101430256,0.10595919762227479,0.6731816132863363,0.03498210504936863,0.2,scale,rbf,False,"{'C': 0.2, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': False}",0.6326470089815286,0.7110507246376812,0.5395889022029681,0.6277622119407259,0.07008416402086683,13
27,1.5586113929748535,0.37673800070355923,0.640826940536499,0.11278951671091111,0.2,scale,rbf,True,"{'C': 0.2, 'gamma': 'scale', 'kernel': 'rbf', 'shrinking': True}",0.6326470089815286,0.7110507246376812,0.5395889022029681,0.6277622119407259,0.07008416402086683,13
28,1.434308369954427,0.087585441217452,0.23825804392496744,0.10836016535131573,0.2,scale,sigmoid,False,"{'C': 0.2, 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': False}",0.5294532627865961,0.48623146543423845,0.508142705650659,0.5079424779571645,0.017645792887427857,23
29,1.260110855102539,0.20394222984229596,0.1994024117787679,0.06740559065984375,0.2,scale,sigmoid,True,"{'C': 0.2, 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': True}",0.5294532627865961,0.48623146543423845,0.508142705650659,0.5079424779571645,0.017645792887427857,23
30,0.35233640670776367,0.08064997096480679,0.018502314885457356,0.009391675913341205,0.2,auto,poly,False,"{'C': 0.2, 'gamma': 'auto', 'kernel': 'poly', 'shrinking': False}",0.5851263925151495,0.7194964674217786,0.5926824034334764,0.6324350877901348,0.06163892813676201,5
31,0.3380270799001058,0.06431818150014967,0.02168734868367513,0.007193333774535021,0.2,auto,poly,True,"{'C': 0.2, 'gamma': 'auto', 'kernel': 'poly', 'shrinking': True}",0.5851263925151495,0.7194964674217786,0.5926824034334764,0.6324350877901348,0.06163892813676201,5
32,1.2175707817077637,0.014381236462727534,0.42672332127888996,0.04035523637635973,0.2,auto,rbf,False,"{'C': 0.2, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': False}",0.4269759450171821,0.4269759450171821,0.4268502581755593,0.4269340494033078,5.924934534492736e-05,25
33,1.2255380153656006,0.16897409023760682,0.3371632893880208,0.04689229382760657,0.2,auto,rbf,True,"{'C': 0.2, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True}",0.4269759450171821,0.4269759450171821,0.4268502581755593,0.4269340494033078,5.924934534492736e-05,25
34,0.890642007191976,0.09469234425413815,0.14963062604268393,0.024679477579331283,0.2,auto,sigmoid,False,"{'C': 0.2, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False}",0.4269759450171821,0.4269759450171821,0.4268502581755593,0.4269340494033078,5.924934534492736e-05,25
35,0.78865647315979,0.11777592249949799,0.1395291487375895,0.03842179534056777,0.2,auto,sigmoid,True,"{'C': 0.2, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True}",0.4269759450171821,0.4269759450171821,0.4268502581755593,0.4269340494033078,5.924934534492736e-05,25
